Sep 26 2012 12:29PM 雪佛兰文洋4s店。
Oct 3 2012 10:54AM 清涧六街坊。
Oct 4 2012 9:13AM 辰山植物园。
Oct 14 2012 9:06PM 临汾路夜市。
Oct 16 2012 6:17AM 合生城邦。
Oct 22 2012 3:43PM 合生城邦。
Oct 23 2012 2:36AM 活着是一种修行。。
Oct 23 2012 2:40AM 合生城邦。
Oct 24 2012 12:47AM 合生城邦。
Oct 25 2012 7:46AM 浦江花苑。
Oct 26 2012 2:35AM 上海通用北厂车身车间。
Oct 26 2012 7:36AM 合生城邦。
Oct 27 2012 12:19PM 新南华(田林店)。
Oct 28 2012 5:25PM 合生城邦。
Nov 1 2012 5:02AM 合生城邦。
Nov 1 2012 9:25PM 合生城邦。
Nov 3 2012 8:32AM 上海通用北厂车身车间。
Nov 3 2012 9:23PM 高点娱乐城(七宝店)。
Nov 3 2012 11:32PM 自由港量贩式KTV(七宝店)。
Nov 4 2012 4:14AM 合生城邦。
Nov 17 2012 3:05PM 柠檬宝贝儿童乐园。
Nov 18 2012 8:37PM 唐山干烤鱼。
Nov 25 2012 8:04AM 浦星公路。
Dec 5 2012 5:57AM 上海通用汽车八号停车场。
Dec 6 2012 3:53PM 上海市第五人民医院。
Dec 13 2012 11:01AM 上海动物园。
Dec 14 2012 8:32AM 合生城邦。
Dec 14 2012 6:33PM 三人行新概念川菜(闵行店)。
Dec 15 2012 4:11AM 自由港量贩式KTV(闵行店)。
Dec 15 2012 6:22AM 合生城邦。
Dec 19 2012 5:55AM 上海通用汽车八号停车场。
Dec 19 2012 7:39AM 合生城邦。与。
Dec 19 2012 11:12PM 合生城邦。与。
Dec 20 2012 12:37PM 召稼楼古镇。
Dec 23 2012 5:31PM 潭阳烧烤。
Dec 23 2012 8:06PM 合生城邦。
Dec 29 2012 5:54AM 新天地时尚购物中心。
Dec 29 2012 5:55AM 上海通用汽车八号停车场。
Dec 29 2012 5:34PM 上海通用北厂车身车间。
Dec 30 2012 6:00AM 上海通用汽车八号停车场。
Dec 31 2012 5:54AM 上海通用汽车八号停车场。
Dec 31 2012 8:59AM 合生城邦。
Dec 31 2012 8:35PM 丰收日(宝山万达店)。
Dec 31 2012 9:51PM 莫泰168(长临路店)。
Dec 31 2012 11:26PM 宝山万达大歌星。
Dec 31 2012 11:39PM 宝山万达大歌星。
Jan 1 2013 7:13AM 莫泰168(长临路店)。
Jan 1 2013 5:35PM 聚鑫阁(江川路店)。
Jan 1 2013 10:16PM 合生城邦。
Jan 3 2013 4:36AM 闵行公园。
Jan 3 2013 8:18AM 上海通用北厂车身车间。
Jan 3 2013 6:25PM 上海通用汽车八号停车场。
Jan 4 2013 4:36AM 闵行公园。
Jan 4 2013 6:29PM 上海通用汽车八号停车场。
Jan 5 2013 4:41AM 闵行公园。
Jan 6 2013 8:16AM 合生城邦。
Jan 6 2013 10:47AM 上海交通大学医学院附属第九人民医院。
Jan 7 2013 6:31PM 上海通用汽车八号停车场。
Jan 8 2013 2:20PM 五院急诊。
Jan 8 2013 3:53PM 张平造型设计(闵行店)(签到1次)。
Jan 10 2013 4:14AM 合生城邦。
Jan 12 2013 6:03AM 上海通用汽车八号停车场。
Jan 13 2013 5:59AM 上海通用汽车八号停车场。
Jan 14 2013 8:15AM 合生城邦。
Jan 16 2013 4:35AM 闵行公园。
Jan 17 2013 10:14PM 合生城邦。
Jan 19 2013 4:37AM 闵行公园。
Jan 19 2013 6:22PM 上海通用汽车八号停车场。
Jan 20 2013 9:00AM 上海市肺科医院2号楼。
Jan 25 2013 5:58AM 上海通用汽车八号停车场。
Feb 3 2013 2:00PM 柠檬宝贝儿童乐园。
Feb 8 2013 7:56AM 合生城邦。
Feb 9 2013 8:09AM 合生城邦。
Feb 10 2013 9:44AM 合生城邦。
Feb 10 2013 8:48PM 上影CGV(莘庄影城)。
Feb 14 2013 8:33PM Apple。
Feb 17 2013 12:28AM 合生城邦。
Feb 18 2013 7:12AM 闵行公园。
Feb 19 2013 6:06AM 上海通用汽车八号停车场。
