Oct 30 2012 3:17PM 。微博桌面特别关注送大奖。。
Nov 2 2012 10:24PM 满记甜品(时代广场店)。
Nov 5 2012 5:34PM 与@amanda158。
Nov 13 2012 12:55PM 星巴克。
Nov 15 2012 7:10PM 普明面馆(浦三路店)。阿姨态度很好，会把东西送过来，面很筋道，辣酱味道也不错。
Nov 16 2012 9:10AM 水语人家。
Nov 16 2012 12:10PM 龙华新村。
Nov 16 2012 12:55PM 月亮湾中式小菜。
Nov 16 2012 4:25PM 鲜墙房(永安大饭店)。
Nov 22 2012 9:20AM 麦当劳(大世界站店)。早餐新成员。
Nov 22 2012 12:07PM 鲜得来排骨年糕(云南南路店)。
Nov 23 2012 12:52PM 顶特勒粥面馆。
Nov 23 2012 12:58PM 万得城(淮海店)。
Nov 27 2012 1:30PM 厚味香辣馆(打浦店)。
Nov 28 2012 9:17AM 星巴克。
Nov 30 2012 7:36PM 巴黎春天(成山店)。
Dec 3 2012 12:14PM 老西门派出所。
Dec 6 2012 9:45AM 三国来了。
Dec 6 2012 11:26AM 三国来了。
Dec 6 2012 12:12PM 三国来了。
Dec 6 2012 12:57PM 变废为宝，低碳生活！。
Dec 6 2012 12:57PM 变废为宝，低碳生活！。
Dec 6 2012 3:15PM 三国来了。
Dec 6 2012 5:49PM 三国来了。
Dec 6 2012 5:50PM 变废为宝，低碳生活！。
Dec 6 2012 11:35PM 三国来了。
Dec 7 2012 2:01PM 三国来了。
Dec 7 2012 4:10PM 变废为宝，低碳生活！。
Dec 7 2012 4:11PM 变废为宝，低碳生活！。
Dec 7 2012 4:54PM 三国来了。
Dec 7 2012 6:25PM 变废为宝，低碳生活！。
Dec 7 2012 8:50PM 三国来了。
Dec 7 2012 8:53PM 变废为宝，低碳生活！。
Dec 7 2012 8:55PM 变废为宝，低碳生活！。
Dec 7 2012 11:12PM 三国来了。
Dec 8 2012 8:58AM 三国来了。
Dec 8 2012 9:01AM 千军易得一将难求！。
Dec 8 2012 5:32PM 三国来了。
Dec 8 2012 11:42PM 三国来了。
Dec 9 2012 12:35PM 三国来了。
Dec 9 2012 3:08PM 变废为宝，低碳生活！。
Dec 9 2012 3:09PM 变废为宝，低碳生活！。
Dec 9 2012 7:07PM 变废为宝，低碳生活！。
Dec 9 2012 7:07PM 变废为宝，低碳生活！。
Dec 10 2012 7:20AM 三国来了。
Dec 10 2012 7:30AM 千军易得一将难求！。
Dec 10 2012 2:28PM 三国来了。
Dec 10 2012 11:57PM 三国来了。
Dec 11 2012 10:49AM 三国来了。
Dec 11 2012 10:50AM 三国来了。
Dec 11 2012 10:51AM 三国来了。
Dec 11 2012 10:57AM 变废为宝，低碳生活！。
Dec 11 2012 12:01PM 三国来了。
Dec 11 2012 1:40PM 变废为宝，低碳生活！。
Dec 11 2012 6:33PM 三国来了。
Dec 11 2012 6:25PM 三国来了。
Dec 11 2012 7:31PM 三国来了。
Dec 11 2012 7:34PM 三国来了。
Dec 11 2012 9:54PM 变废为宝，低碳生活！。
Dec 11 2012 9:54PM 变废为宝，低碳生活！。
Dec 12 2012 7:43AM 三国来了。
Dec 12 2012 8:42AM 三国来了。
Dec 12 2012 8:40AM 三国来了。
Dec 12 2012 8:45AM 三国来了。
Dec 12 2012 12:44PM 三国来了。
Dec 12 2012 4:39PM 豪大大鸡排崇德路店。
Dec 12 2012 7:39PM 三国来了。
Dec 12 2012 7:53PM 三国来了。
Dec 13 2012 8:19AM 三国来了。
Dec 13 2012 9:27AM 变废为宝，低碳生活！。
Dec 13 2012 9:27AM 变废为宝，低碳生活！。
Dec 13 2012 11:08AM 三国来了。
Dec 13 2012 12:46PM 变废为宝，低碳生活！。
Dec 13 2012 3:26PM 变废为宝，低碳生活！。
Dec 13 2012 3:27PM 变废为宝，低碳生活！。
Dec 13 2012 4:25PM 三国来了。
Dec 13 2012 6:55PM 三国来了。
Dec 13 2012 9:57PM 三国来了。
Dec 13 2012 11:40PM 变废为宝，低碳生活！。
Dec 14 2012 7:46AM 三国来了。
Dec 14 2012 7:55AM 三国来了。
Dec 14 2012 3:24PM 三国来了。
Dec 14 2012 4:20PM 三国来了。
Dec 14 2012 5:33PM 三国来了。
Dec 14 2012 5:34PM 三国来了。
Dec 15 2012 1:02AM 千军易得一将难求！。
Dec 15 2012 1:06AM 三国来了。
Dec 15 2012 7:26AM 三国来了。
Dec 15 2012 8:27AM 三国来了。
Dec 15 2012 8:29AM 三国来了。
Dec 15 2012 10:38AM 变废为宝，低碳生活！。
Dec 15 2012 11:46AM 变废为宝，低碳生活！。
Dec 15 2012 1:17PM 三国来了。
Dec 15 2012 1:16PM 变废为宝，低碳生活！。
Dec 15 2012 1:16PM 变废为宝，低碳生活！。
Dec 15 2012 3:01PM 三国来了。
Dec 15 2012 3:02PM 三国来了。
Dec 15 2012 6:35PM 变废为宝，低碳生活！。
Dec 15 2012 9:56PM 三国来了。
Dec 16 2012 10:12AM 三国来了。
Dec 16 2012 10:21AM 变废为宝，低碳生活！。
Dec 16 2012 1:49PM 三国来了。
Dec 16 2012 3:34PM 变废为宝，低碳生活！。
Dec 16 2012 3:34PM 三国来了。
Dec 16 2012 3:34PM 变废为宝，低碳生活！。
Dec 16 2012 3:40PM 三国来了。
Dec 16 2012 9:31PM 变废为宝，低碳生活！。
Dec 16 2012 9:37PM 三国来了。
Dec 16 2012 9:39PM 三国来了。
Dec 17 2012 7:00AM 三国来了。
Dec 17 2012 9:07AM 三国来了。
Dec 17 2012 11:18AM 三国来了。
Dec 17 2012 12:12PM 三国来了。
Dec 17 2012 2:27PM 变废为宝，低碳生活！。
Dec 17 2012 2:27PM 变废为宝，低碳生活！。
Dec 17 2012 2:49PM 三国来了。
Dec 17 2012 3:54PM 变废为宝，低碳生活！。
Dec 17 2012 6:54PM 汇金百货(徐家汇店)。
Dec 17 2012 7:00PM 变废为宝，低碳生活！。
Dec 17 2012 8:26PM 三国来了。
Dec 17 2012 8:29PM 变废为宝，低碳生活！。
Dec 17 2012 10:46PM 三国来了。
Dec 18 2012 7:31AM 三国来了。
Dec 18 2012 9:53AM 变废为宝，低碳生活！。
Dec 18 2012 11:55AM 三国来了。
Dec 18 2012 12:10PM 三国来了。
Dec 18 2012 12:13PM 变废为宝，低碳生活！。
Dec 18 2012 12:39PM 星巴克。
Dec 18 2012 4:35PM 三国来了。
Dec 18 2012 4:40PM 三国来了。
Dec 18 2012 4:53PM 三国来了。
Dec 18 2012 6:20PM 变废为宝，低碳生活！。
Dec 18 2012 6:20PM 变废为宝，低碳生活！。
Dec 18 2012 6:20PM 变废为宝，低碳生活！。
Dec 18 2012 7:14PM 三国来了。
Dec 18 2012 8:53PM 千军易得一将难求！。
Dec 18 2012 8:56PM 三国来了。
Dec 18 2012 9:20PM 世博家园94弄A区。
Dec 18 2012 10:41PM 变废为宝，低碳生活！。
Dec 18 2012 10:43PM 三国来了。
Dec 19 2012 7:33AM 三国来了。
Dec 19 2012 9:34AM 三国来了。
Dec 19 2012 9:39AM 三国来了。
Dec 19 2012 9:41AM 三国来了。
Dec 19 2012 11:16AM 千军易得一将难求！。
Dec 19 2012 2:03PM 变废为宝，低碳生活！。
Dec 19 2012 3:33PM 三国来了。
Dec 19 2012 3:37PM 三国来了。
Dec 19 2012 5:28PM 三国来了。
Dec 19 2012 7:07PM 三国来了。
Dec 19 2012 10:45PM 三国来了。
Dec 19 2012 10:46PM 三国来了。
Dec 20 2012 7:35AM 三国来了。
Dec 20 2012 7:34AM 变废为宝，低碳生活！。
Dec 20 2012 11:32AM 变废为宝，低碳生活！。
Dec 20 2012 11:36AM 三国来了。
Dec 20 2012 1:39PM 三国来了。
Dec 20 2012 2:44PM 三国来了。
Dec 20 2012 5:06PM 三国来了。
Dec 20 2012 11:20PM 三国来了。
Dec 21 2012 12:52AM 变废为宝，低碳生活！。
Dec 21 2012 7:24AM 三国来了。
Dec 21 2012 1:08PM 变废为宝，低碳生活！。
Dec 21 2012 2:41PM 三国来了。
Dec 21 2012 3:06PM 三国来了。
Dec 21 2012 3:07PM 变废为宝，低碳生活！。
Dec 21 2012 4:58PM 三国来了。
Dec 22 2012 1:20AM 三国来了。
Dec 22 2012 1:26AM 千军易得一将难求！。
Dec 22 2012 1:44AM 千军易得一将难求！。
Dec 22 2012 10:56AM 变废为宝，低碳生活！。
Dec 22 2012 10:58AM 三国来了。
Dec 22 2012 11:44AM 三国来了。
Dec 22 2012 11:45AM 三国来了。
Dec 22 2012 1:09PM 变废为宝，低碳生活！。
Dec 22 2012 1:10PM 三国来了。
Dec 22 2012 1:17PM 三国来了。
Dec 22 2012 3:55PM 三国来了。
Dec 22 2012 5:25PM 三国来了。
Dec 22 2012 5:24PM 三国来了。
Dec 22 2012 5:28PM 变废为宝，低碳生活！。
Dec 22 2012 6:10PM 三国来了。
Dec 22 2012 9:41PM 变废为宝，低碳生活！。
Dec 22 2012 10:09PM 三国来了。
Dec 22 2012 10:10PM 三国来了。
Dec 22 2012 10:12PM 三国来了。
Dec 22 2012 11:25PM 三国来了。
Dec 23 2012 12:09AM 三国来了。
Dec 23 2012 10:45AM 三国来了。
Dec 23 2012 12:46PM 三国来了。
Dec 23 2012 2:05PM 千军易得一将难求！。
Dec 23 2012 2:59PM 三国来了。
Dec 23 2012 5:54PM 变废为宝，低碳生活！。
Dec 23 2012 7:22PM 变废为宝，低碳生活！。
Dec 23 2012 8:14PM 三国来了。
Dec 23 2012 8:58PM 三国来了。
Dec 23 2012 8:59PM 变废为宝，低碳生活！。
Dec 23 2012 10:32PM 千军易得一将难求！。
Dec 23 2012 10:42PM 千军易得一将难求！。
Dec 24 2012 6:38AM 三国来了。
Dec 24 2012 7:54AM 三国来了。
Dec 24 2012 9:27AM 三国来了。
Dec 24 2012 11:27AM 变废为宝，低碳生活！。
Dec 24 2012 11:47AM 变废为宝，低碳生活！。
Dec 24 2012 1:56PM 三国来了。
Dec 24 2012 3:32PM 变废为宝，低碳生活！。
Dec 24 2012 4:32PM 联通金陵东路营业厅。
Dec 24 2012 5:06PM 三国来了。
Dec 24 2012 6:21PM 三国来了。
Dec 24 2012 10:59PM 三国来了。
Dec 24 2012 11:02PM 三国来了。
Dec 25 2012 7:03AM 三国来了。
Dec 25 2012 9:19AM 变废为宝，低碳生活！。
Dec 25 2012 9:24AM 三国来了。
Dec 25 2012 10:22AM 变废为宝，低碳生活！。
Dec 25 2012 12:14PM 三国来了。
Dec 25 2012 2:34PM 三国来了。
Dec 25 2012 3:11PM 三国来了。
Dec 25 2012 3:37PM 变废为宝，低碳生活！。
Dec 25 2012 3:37PM 变废为宝，低碳生活！。
Dec 25 2012 5:34PM 三国来了。
Dec 25 2012 5:38PM 千军易得一将难求！。
Dec 25 2012 5:41PM 变废为宝，低碳生活！。
Dec 25 2012 5:44PM 三国来了。
Dec 25 2012 5:43PM 三国来了。
Dec 25 2012 8:29PM 变废为宝，低碳生活！。
Dec 25 2012 9:15PM 三国来了。
Dec 25 2012 10:18PM 三国来了。
Dec 25 2012 10:20PM 三国来了。
Dec 26 2012 8:39AM 三国来了。
Dec 26 2012 10:12AM 三国来了。
Dec 26 2012 10:18AM 三国来了。
Dec 26 2012 10:21AM 三国来了。
Dec 26 2012 11:24AM 变废为宝，低碳生活！。
Dec 26 2012 11:45AM 变废为宝，低碳生活！。
Dec 26 2012 3:36PM 变废为宝，低碳生活！。
Dec 26 2012 3:36PM 三国来了。
Dec 26 2012 3:41PM 变废为宝，低碳生活！。
Dec 26 2012 5:12PM 三国来了。
Dec 26 2012 6:06PM 三国来了。
Dec 26 2012 6:23PM 变废为宝，低碳生活！。
Dec 26 2012 6:24PM 变废为宝，低碳生活！。
Dec 26 2012 6:24PM 变废为宝，低碳生活！。
Dec 26 2012 8:33PM 三国来了。
