Sep 29 2012 3:23PM 安亭CGV影城VIP等候区。
Oct 1 2012 10:44AM 桃浦新村地铁站。
Oct 10 2012 9:10PM 星巴克。
Oct 16 2012 11:46AM 浦西洲际酒店会议中心。
Dec 27 2012 5:43AM 到家了！睡觉！今天好困！。
Jan 8 2012 7:24PM 上视大厦。
Jan 8 2012 8:33PM 桃浦一村。
Jan 9 2012 6:28AM 桃浦一村。
Jan 9 2012 9:38AM 液体震撼。
Jan 9 2012 10:58AM 星巴克。
Jan 9 2012 1:35PM 咖喱工房(淮海店)。
Jan 9 2012 2:25PM 上海轨道交通7号线静安寺站。
Jan 9 2012 4:21PM 7号线耀华路。
Jan 9 2012 5:34PM 梅赛德斯-奔驰文化中心(Mercedes-Benz。
Jan 9 2012 11:52PM 桃浦一村。
Jan 10 2012 12:33AM 桃浦一村合欢苑。
Jan 10 2012 6:09AM 桃浦一村。
Jan 10 2012 7:39AM 桃浦新村地铁站。
Jan 10 2012 8:47AM 7号线耀华路。
Jan 10 2012 9:18AM 梅赛德斯-奔驰文化中心(Mercedes-Benz。
Jan 10 2012 8:57PM 桃浦一村。
Jan 11 2012 9:31AM 桃浦一村。
Jan 12 2012 9:45AM 桃浦一村。
Jan 12 2012 12:01PM 桃浦新村地铁站。
Jan 12 2012 1:34PM 上海东方电视台演播厅。
Jan 12 2012 9:52PM 桃浦一村。啊。。。。
Jan 13 2012 6:58AM 桃浦一村。
Jan 13 2012 8:51AM 上海东方电视台演播厅。
Jan 13 2012 6:38PM 桃浦一村。
Jan 14 2012 9:39AM 桃浦一村。
Jan 14 2012 12:27PM 桃浦新村地铁站。
Jan 14 2012 1:05PM 上海信息技术学院。
Jan 14 2012 5:37PM 地铁二号线静安寺站。
Jan 14 2012 7:33PM 广电大厦。
Jan 15 2012 1:17AM 广电大厦。
Jan 15 2012 1:46AM 桃浦一村。
Jan 15 2012 8:33PM 桃浦一村。
Jan 15 2012 9:30PM 上海信息技术学院。
Jan 15 2012 11:03PM 潮汕原味馆。
Jan 16 2012 1:31AM 桃浦一村。
Jan 16 2012 8:17AM 桃浦一村。
Jan 16 2012 10:31AM 液体震撼。
Jan 16 2012 11:30AM 工行地铁静安寺支行。
Jan 16 2012 1:04PM 上海东方电视台演播厅。
Jan 16 2012 4:43PM 南浦大桥。
Jan 16 2012 6:33PM 桃浦一村。
Jan 17 2012 8:12AM 桃浦一村。
Jan 17 2012 10:12AM 梅园村酒家(静安店)。
Jan 17 2012 7:00PM 吉旺茶餐厅(中环百联店)。
Jan 17 2012 9:06PM 桃浦一村。
Jan 18 2012 7:22AM 桃浦一村。
Jan 18 2012 8:26AM 上海东方电视台演播厅。
Jan 18 2012 3:17PM 上海东方电视台演播厅。
Jan 18 2012 7:40PM 上海东方电视台演播厅。
Jan 18 2012 8:28PM 上海电视台。
Jan 18 2012 10:11PM 桃浦一村。
Jan 19 2012 12:59PM 桃浦一村。
Jan 19 2012 2:09PM 上海东方电视台演播厅。
Jan 19 2012 11:31PM 億方砂锅粥(陕西南路店)。
Jan 20 2012 3:38AM 桃浦一村。
Jan 23 2012 3:30PM 泰煌鸡(雪松路店)。
Jan 23 2012 4:23PM 桃浦一村。
Jan 25 2012 11:46PM 烧肉牛家(凯旋北路店)。
Jan 26 2012 3:04AM 桃浦一村。
Jan 26 2012 5:05PM 桃浦一村。
