Nov 6 2012 2:44PM 。。
Dec 13 2012 3:44PM 银乐迪(虹口龙之梦店)。
Jan 3 2013 10:02PM 银乐迪(虹口龙之梦店)。
Dec 1 2011 11:53AM 德胜门。
Dec 2 2011 11:39AM 千禧酒家。
Dec 5 2011 11:34AM 必胜客(青浦百联店)。
Dec 5 2011 11:51AM 必胜客(青浦百联店)。
Dec 6 2011 5:40PM 杨泰三村。
Dec 15 2011 6:06AM 月浦单宿。
Dec 15 2011 6:29AM 海尚明城。
Dec 15 2011 4:42PM 博兴路长岛路。
Dec 17 2011 8:06PM 宝莱奇温泉浴场。
Dec 18 2011 11:03AM 月浦单宿。
Dec 18 2011 9:50PM 宝钢HFW焊管厂。
Dec 20 2011 1:25PM 卜蜂莲花(蕰川路店)。
Dec 21 2011 6:06PM 巴渝饭庄。
Dec 23 2011 8:49AM 宝钢HFW焊管厂。与。
Dec 23 2011 4:54PM 迎宾楼食府。
Dec 24 2011 4:20PM 宝钢HFW焊管厂。与。
Dec 24 2011 9:20PM 宝钢HFW焊管厂。
Dec 25 2011 3:29PM 宝钢HFW焊管厂。
Dec 26 2011 10:40PM 宝钢HFW焊管厂。与。
Dec 27 2011 9:51PM 宝钢HFW焊管厂。
Dec 28 2011 12:40PM 上影CGV(大宁影城)(上影星汇影城)。
Dec 28 2011 1:37PM Esprit(大宁国际店)。
Dec 28 2011 4:35PM Jack&Jones(大宁店)。
Dec 28 2011 5:52PM 汉泰东南亚风味餐厅(大宁店)。
Dec 28 2011 7:37PM 大宁国际商业广场。
Dec 30 2011 7:08AM 宝钢HFW焊管厂。接班待料，希望待到下班。
Dec 30 2011 1:06PM 宝钢HFW焊管厂。料还么来，今天么产量了。
Dec 31 2011 7:32AM 宝钢HFW焊管厂。
Dec 31 2011 10:56AM 宝钢HFW焊管厂。
Dec 31 2011 5:49PM 君航大酒店。与。
Dec 31 2011 11:29PM 外滩(The。
Jan 1 2012 1:29AM 保时捷4S店。
Jan 1 2012 3:13PM 宝钢HFW焊管厂。与。
Jan 2 2012 3:06PM 宝钢HFW焊管厂。
Jan 3 2012 10:39PM 宝钢HFW焊管厂。
Jan 4 2012 8:18PM 潜味。
Jan 4 2012 8:21PM 潜味。
Jan 4 2012 10:37PM 宝钢HFW焊管厂。与。
Jan 5 2012 3:01AM 宝钢HFW焊管厂。
Jan 5 2012 5:34PM 红辣椒(月浦店)。
Jan 6 2012 12:29PM 顾村公园。
Jan 7 2012 6:12AM 宝钢钢管厂。
Jan 7 2012 4:05PM 安信商业广场。
Jan 8 2012 6:02AM 月浦单宿。
Jan 8 2012 9:53AM 宝钢HFW焊管厂。
Jan 9 2012 4:30PM 宝钢HFW焊管厂。与。
Jan 10 2012 2:11PM 宝钢钢管厂。
Jan 10 2012 5:42PM 宝钢钢管厂。
Jan 11 2012 9:54PM 宝钢钢管厂。
Jan 12 2012 5:22PM 月浦单宿。
Jan 12 2012 10:35PM 宝钢钢管厂。
Jan 13 2012 4:48AM 宝钢钢管厂。
Jan 15 2012 9:48AM 宝钢钢管厂。
Jan 15 2012 7:35PM 虹桥枢纽。
Jan 16 2012 10:15AM 宝钢体检中心。
Jan 16 2012 10:31AM 八角楼。
