Oct 31 2012 12:01PM 万圣节。
Nov 8 2012 7:41PM 悦达889广场。
Dec 21 2012 8:01PM 隆德小区。哈哈哈哈，移动充值送的。
Feb 10 2013 11:22AM 隆德小区。祝自己本命年顺顺利利，家人身体健康，开心，幸福。祝两个姐姐的龙宝宝都幸福健康的长大。
Apr 17 2013 10:45AM 我在。
Apr 30 2013 9:57PM 凯旋路武夷路。
May 10 2013 8:29PM 唛歌时尚KTV(淮海中路店)。
May 10 2013 9:12PM 唛歌时尚KTV(淮海中路店)。
May 10 2013 9:18PM 唛歌时尚KTV(淮海中路店)。
May 10 2013 9:56PM 唛歌时尚KTV(淮海中路店)。
Dec 5 2011 12:41PM 永和大王(虹桥路餐厅)。
Dec 5 2011 12:45PM 上海城市雕塑艺术中心。
Dec 7 2011 9:56AM 红坊D栋。
Dec 7 2011 6:36PM 招商银行(曹杨支行)。
Dec 8 2011 12:43PM 上海城市雕塑艺术中心。
Dec 8 2011 4:25PM 红坊D栋。
Dec 8 2011 11:11PM 隆德小区。
Dec 9 2011 6:18PM MOB(曹杨店)。
Dec 12 2011 9:16AM 全家便利店。
Dec 12 2011 9:24AM 绿地和创大厦。
Dec 12 2011 6:08PM 喜家时尚风味餐厅。
Dec 12 2011 11:49PM 隆德小区。
Dec 13 2011 5:27PM 绿地和创大厦。
Dec 14 2011 8:21PM 世纪联华(长江南路店)。
Dec 15 2011 2:47PM 嘿，我正在使用车模检索器哟，通过。
Dec 15 2011 3:16PM 绿地和创大厦。
Dec 15 2011 7:11PM 紫荆花美甲。
Dec 15 2011 7:32PM 赛百味(龙之梦店)。
Dec 17 2011 4:44PM 动漫嬉戏谷。
Dec 18 2011 4:01PM 南翔漪园小笼馆。
Dec 18 2011 11:04PM 隆德小区。
Dec 19 2011 9:33AM 绿地和创大厦。
Dec 19 2011 12:35PM 汉泰东南亚风味餐厅(武宁店)。
Dec 19 2011 1:29PM 嘿，我正在使用车模检索器哟，通过。
Dec 19 2011 2:22PM 。奥迪驾控汇。。
Dec 19 2011 6:15PM 红宝石(曹杨店)。
Dec 19 2011 11:36PM 隆德小区。
Dec 20 2011 9:51AM 绿地和创大厦。
Dec 20 2011 9:34PM 隆德小区。
Dec 21 2011 12:24PM 喜家时尚风味餐厅。
Dec 21 2011 1:18PM 绿地和创大厦。
Dec 21 2011 7:16PM IMAGO我格广场。
Dec 21 2011 7:23PM 神彩飞扬游乐公园(我格广场)。
Dec 21 2011 8:15PM 侬好蛙干锅传奇。
Dec 22 2011 9:11AM 绿地和创大厦。
Dec 22 2011 12:48PM 三商巧福(曹杨店)。
Dec 22 2011 5:49PM 绿地和创大厦。
Dec 22 2011 7:25PM 隆德小区。
Dec 23 2011 11:06AM 绿地和创大厦。
Dec 23 2011 8:58PM 隆德小区。
Dec 24 2011 9:37AM 隆德小区。
Dec 24 2011 11:17AM 隆德路地铁站。
Dec 25 2011 7:12PM 大宁国际商业广场。
Dec 25 2011 7:13PM 屈臣氏(大宁店)。
Dec 25 2011 10:44PM 隆德小区。
Dec 26 2011 12:21PM 绿地和创大厦。
Dec 27 2011 9:48PM 隆德小区。
Dec 28 2011 10:33AM 红坊D栋。
Dec 28 2011 12:12PM 翠薇轩。
Dec 28 2011 6:25PM 洋人阿婆。
Dec 28 2011 10:33PM 大康歌城。
Dec 29 2011 2:57AM 7天连锁酒店(虹口体育场店)。
Dec 30 2011 7:53PM MOB(曹杨店)。
Dec 31 2011 2:33PM 绿地和创大厦。
Jan 1 2012 8:02PM 隆德小区。
Jan 2 2012 9:56AM 隆德小区。
Jan 3 2012 12:49AM 隆德小区。
Jan 3 2012 9:23PM 国泰电影院(Cathay。
Jan 3 2012 10:55PM 隆德小区。
Jan 4 2012 8:10PM 隆德小区。
Jan 5 2012 8:55AM 虹桥路地铁站。
Jan 5 2012 8:56AM 红坊国际艺术文化社区。
Jan 5 2012 9:33AM 红坊D栋。
Jan 5 2012 12:26PM 沪上客苏式汤包馆。
Jan 5 2012 6:41PM 侬好蛙干锅传奇。
Jan 6 2012 9:25AM 绿地和创大厦。
Jan 6 2012 12:12PM 萨莉亚(长城弘基广场店)。
Jan 6 2012 6:17PM 丰收日(普陀店)。
Jan 7 2012 9:41PM 隆德小区。
Jan 8 2012 11:20AM 隆德路地铁站。
Jan 9 2012 12:04AM 隆德小区。
Jan 9 2012 9:35AM 绿地和创大厦。
Jan 9 2012 8:43PM 隆德小区。
Jan 10 2012 8:42AM 隆德路地铁站。
Jan 10 2012 10:10AM 红坊D栋。
Jan 10 2012 6:12PM 漕宝路地铁站。
Jan 10 2012 7:43PM 小南国汤河源浴场。
Jan 10 2012 11:39PM 隆德小区。
Jan 11 2012 6:03PM 绿地和创大厦。
Jan 12 2012 9:18AM 绿地和创大厦。
Jan 12 2012 5:37PM 绿地和创大厦。
Jan 12 2012 8:13PM 隆德小区。
Jan 13 2012 11:00AM 绿地和创大厦。
Jan 14 2012 9:20AM 隆德小区。
Jan 15 2012 2:46PM 上海1930风情街名品坊。
Jan 15 2012 9:52PM 隆德小区。
Jan 16 2012 5:43PM 绿地和创大厦。
Jan 16 2012 8:21PM 隆德小区。
Jan 17 2012 12:43PM 敦煌小亭(曹杨店)。
Jan 17 2012 4:29PM 绿地和创大厦。
Jan 17 2012 10:49PM 通北路海鲜一条街。
Jan 17 2012 11:12PM 隆德小区。
Jan 18 2012 5:19PM 绿地和创大厦。
Jan 18 2012 10:48PM 隆德小区。
Jan 19 2012 8:56AM 红坊国际艺术文化社区。
Jan 20 2012 11:31PM 隆德小区。
Jan 21 2012 8:27PM 颂阁岚泰国美食屋。
Jan 21 2012 11:19PM 隆德小区。
Jan 24 2012 8:54PM 隆德小区。
Jan 25 2012 11:25PM 曹家渡。
Jan 26 2012 2:36AM 上海歌城(智慧广场店)。
Jan 26 2012 7:19PM 新招鲜本地鸡窝(淞南店)。
Jan 27 2012 7:40AM 隆德小区。
Jan 27 2012 7:08PM 隆德小区。
Jan 28 2012 3:31AM 隆德小区。
Jan 29 2012 12:11AM 隆德小区。
Jan 29 2012 9:34AM 绿地和创大厦。
Jan 29 2012 12:32PM 荣源楼小笼(我格广场店)。
Jan 29 2012 6:11PM 西宫花鸟市场。
Jan 29 2012 6:44PM 江湾镇地铁站。
Jan 29 2012 11:54PM 隆德小区。
Jan 30 2012 12:32PM 味千拉面(我格广场店)。
Jan 30 2012 5:48PM 绿地和创大厦。
Jan 30 2012 7:07PM 新西宫流行服饰礼品城。
Jan 30 2012 10:42PM 隆德小区。
Jan 31 2012 12:45PM 萨莉亚(长城弘基店)。
Jan 31 2012 10:31PM 隆德小区。
Feb 1 2012 12:19PM 合盛源特色砂锅。
Feb 1 2012 7:14PM 喜来公社(赤峰路轻轨店)。
Feb 1 2012 10:27PM 隆德小区。
Feb 2 2012 11:54AM 绿地和创大厦。
Feb 2 2012 7:34PM MOB(曹杨店)。
Feb 2 2012 10:59PM 隆德小区。
Feb 3 2012 12:50PM 芋贵人(我格广场店)。
Feb 3 2012 3:18PM 绿地和创大厦。
Feb 4 2012 10:50PM 隆德小区。与。
Feb 5 2012 12:19PM 隆德路地铁站。
Feb 5 2012 11:59PM 隆德小区。
Feb 6 2012 11:43AM 绿地和创大厦。
Feb 7 2012 12:21PM 三商巧福(曹杨店)。
Feb 7 2012 2:27PM 绿地和创大厦。
Feb 8 2012 9:55AM 绿地和创大厦。
Feb 9 2012 9:19AM 绿地和创大厦。
Feb 9 2012 7:00PM 豪大大台湾大鸡排(我格广场店)。
Feb 9 2012 11:05PM 隆德小区。
Feb 10 2012 12:05PM 喜家时尚风味餐厅。
Feb 10 2012 1:02PM 绿地和创大厦。
Feb 11 2012 12:35AM 隆德小区。
Feb 11 2012 11:22PM 隆德小区。
Feb 12 2012 9:42PM 隆德小区。
Feb 13 2012 9:00AM 绿地和创大厦。
Feb 13 2012 12:30PM 喜家时尚风味餐厅。
Feb 13 2012 11:10PM 隆德小区。
Feb 14 2012 9:28AM 绿地和创大厦。
Feb 14 2012 1:00PM MOB(曹杨店)。
Feb 14 2012 11:28PM 隆德小区。
Feb 15 2012 12:12PM 合盛源特色砂锅。
Feb 15 2012 3:51PM 绿地和创大厦。
Feb 15 2012 8:06PM 隆德小区。
Feb 16 2012 10:30AM 红坊D栋。
Feb 16 2012 7:41PM 赤峰路地铁站。
Feb 16 2012 8:15PM 新招鲜本地鸡窝(淞南店)。
Feb 17 2012 4:25PM 绿地和创大厦。
Feb 17 2012 7:10PM MOB(曹杨店)。
Feb 18 2012 12:27AM 隆德小区。
Feb 18 2012 10:33AM 隆德小区。
Feb 18 2012 11:14AM 隆德路地铁站。
Feb 19 2012 2:19PM 四海游龙(田林店)。
Feb 19 2012 3:58PM 光大会展中心。
Feb 19 2012 7:23PM 汉泰东南亚风味餐厅(大宁店)。
Feb 20 2012 3:20PM 绿地和创大厦。
Feb 20 2012 11:16PM 隆德小区。
Feb 22 2012 1:08PM 绿地和创大厦。
Feb 22 2012 7:01PM 置汇谷。
Feb 23 2012 9:03AM 绿地和创大厦。
Feb 23 2012 7:12PM 置汇谷。
Feb 23 2012 10:08PM 隆德小区。
Feb 24 2012 1:44PM 普陀区社会保险事业中心。
Feb 25 2012 1:21PM 隆德小区。
Feb 25 2012 2:48PM 西宫。
Feb 27 2012 12:05PM 绿地和创大厦。
Feb 27 2012 7:08PM 九龙制造(悦达店)。
Feb 27 2012 8:39PM 悦达889广场。
Feb 28 2012 12:08AM 隆德小区。
Feb 28 2012 12:09PM 桐庐山里人家(安顺店)。
Feb 28 2012 4:40PM 微访谈向。
Feb 28 2012 11:55PM 隆德小区。
Feb 29 2012 7:14PM 赤峰路地铁站。
Mar 1 2012 1:07PM 雕刻时光咖啡馆(红坊店)。
Mar 1 2012 5:35PM 红坊国际艺术文化社区。
Mar 2 2012 12:49PM 绿地和创大厦。
Mar 2 2012 7:06PM MOB(曹杨店)。
Mar 2 2012 7:21PM 招商银行(曹杨支行)。
Mar 2 2012 10:24PM 隆德小区。
Mar 4 2012 11:48PM 隆德小区。
Mar 5 2012 11:23PM 隆德小区。
Mar 6 2012 12:17PM 萨莉亚(长城弘基店)。
Mar 6 2012 12:52PM 85度C(曹杨店)。
Mar 6 2012 10:07PM 隆德小区。
Mar 7 2012 11:02PM 隆德小区。
Mar 8 2012 3:48PM 中国建设银行(普陀支行)。
Mar 8 2012 10:50PM 隆德小区。
Mar 9 2012 9:21AM 隆德小区。
Mar 10 2012 12:02AM 隆德小区。
Mar 11 2012 11:03PM 隆德小区。
Mar 12 2012 7:47PM 家乐福(武宁店)。
Mar 13 2012 11:43PM 隆德小区。
Mar 14 2012 12:04PM MOB(曹杨店)。
Mar 14 2012 5:53PM 绿地和创大厦。
Mar 15 2012 12:15AM 隆德小区。
Mar 15 2012 12:15PM 奥灶馆。
Mar 15 2012 3:23PM 普陀区就业促进中心。
Mar 15 2012 11:23PM 隆德小区。
Mar 18 2012 12:11PM 西宫。
Mar 18 2012 9:39PM 隆德小区。
Mar 19 2012 12:44PM 绿地和创大厦。
Mar 20 2012 9:06AM 绿地和创大厦。
Mar 20 2012 7:08PM 喜家时尚风味餐厅。
Mar 20 2012 7:13PM 绿地和创大厦。
Mar 20 2012 10:31PM 隆德小区。
Mar 21 2012 12:57PM 绿地和创大厦。
Mar 21 2012 6:24PM 重庆鸡公煲(曹杨路店)。
Mar 21 2012 9:53PM 隆德小区。
Mar 22 2012 10:53PM 隆德小区。
Mar 23 2012 9:32AM 上海火车站。
Mar 23 2012 11:45AM 永和大王樾擱南路店。
Mar 23 2012 4:06PM 绿地和创大厦。
Mar 23 2012 7:30PM 望湘园(我格广场店)。
Mar 24 2012 10:14AM 隆德小区。
Mar 24 2012 11:36PM 隆德小区。
Mar 27 2012 12:18PM 绿地和创大厦。
Mar 27 2012 10:23PM 隆德小区。
Mar 31 2012 12:34PM 绿地和创大厦。
Mar 31 2012 6:37PM 绿地和创大厦。
Mar 31 2012 8:04PM 三人行骨头王火锅(长寿店)。
Apr 1 2012 3:47PM 绿地和创大厦。
Apr 1 2012 7:11PM 避风塘(我格广场店)。
Apr 1 2012 7:48PM 博纳银兴国际影城。
Apr 5 2012 11:07PM 隆德小区。
Apr 6 2012 11:49AM 绿地和创大厦。
Apr 6 2012 5:29PM 绿地和创大厦。与。
Apr 6 2012 11:04PM 隆德小区。
Apr 9 2012 8:52AM 绿地和创大厦。与。
Apr 9 2012 12:19PM 绿地和创大厦。
Apr 9 2012 5:30PM 绿地和创大厦。
Apr 9 2012 11:42PM 隆德小区。
Apr 10 2012 10:14AM 绿地和创大厦。
Apr 10 2012 12:36PM 绿地和创大厦。
Apr 10 2012 9:31PM 隆德小区。
Apr 11 2012 12:38AM 隆德小区。
Apr 11 2012 12:20PM 绿地和创大厦。
Apr 11 2012 6:04PM 绿地和创大厦。与。
Apr 12 2012 12:10PM 绿地和创大厦。
Apr 12 2012 5:08PM 绿地和创大厦。
Apr 13 2012 1:08PM 绿地和创大厦。
Apr 14 2012 8:00PM 超级鸡车。
Apr 14 2012 8:07PM 来伊份(曹杨路店)。
Apr 14 2012 8:10PM 牛奶棚(顺义路店)。
Apr 15 2012 9:36AM 隆德小区。
Apr 15 2012 10:01AM 隆德路地铁站。
Apr 16 2012 7:17PM 宋记香辣蟹(曹家渡店)。
Apr 17 2012 1:31PM 绿地和创大厦。
Apr 17 2012 11:25PM 隆德小区。
Apr 18 2012 9:08AM 绿地和创大厦。
Apr 19 2012 12:17PM 绿地和创大厦。
Apr 19 2012 5:50PM 绿地和创大厦。
Apr 21 2012 12:42PM 掌上韩品(虹口龙之梦店)。
Apr 21 2012 3:24PM 岩舞空间攀岩馆。
Apr 21 2012 3:44PM DQ冰雪皇后(虹口龙之梦店)。
Apr 21 2012 7:23PM 江湾镇地铁站。
Apr 21 2012 10:50PM 隆德小区。
Apr 22 2012 11:49PM 隆德小区。
Apr 23 2012 10:31AM 普陀区外劳力管理所。
Apr 23 2012 11:03AM G2京沪G42沪蓉高速江桥收费站。
Apr 26 2012 12:17AM 隆德小区。
Apr 27 2012 4:11PM 绿地和创大厦。
Apr 28 2012 3:45PM 绿地和创大厦。
Apr 28 2012 9:56PM 唛歌时尚KTV(淮海中路店)。与。
Apr 30 2012 10:51AM 虹口足球场地铁站。
Apr 30 2012 1:12PM 黄兴公园。
Apr 30 2012 9:24PM 五角场。
May 4 2012 2:30PM 绿地和创大厦。
May 5 2012 6:52PM 隆德小区。
May 6 2012 10:09AM 隆德小区。
May 7 2012 9:40AM 绿地和创大厦。
Jun 20 2012 1:51PM 星光公益站之吴奇隆（黑白能量）。
Jun 24 2012 8:17PM 外婆家(虹口龙之梦店)。
Jun 25 2012 11:19AM 嘿，我正在使用车模检索器哟，通过趣味条件的的筛选，。
Jul 28 2012 3:09AM 隆德小区。
