Sep 24 2012 8:25AM 麦当劳(武宁路店)。
Oct 13 2012 3:48PM 泰好似芭蒂。
Nov 5 2012 3:07PM 华谊兄弟影城(上海长风店)。
Nov 12 2011 3:24PM 窝里厢。
Nov 15 2011 11:25PM 冰墨洗浴中心。
Dec 1 2011 8:43AM 沪太新村第一小学。
Dec 1 2011 7:20PM 桃浦十村。
Dec 2 2011 8:30AM 沪太新村第一小学。
Dec 3 2011 10:31AM 桃浦十村。
Dec 3 2011 2:37PM 窝里厢。
Dec 4 2011 12:05AM 桃浦十村門口燒烤攤。
Dec 5 2011 6:09PM 桃浦十村。
Dec 7 2011 10:17AM 沪太新村第一小学。
Dec 8 2011 7:34PM 窝里厢。
Dec 10 2011 6:58PM 窝里厢。
Dec 11 2011 10:30AM 桃浦十村。
Dec 11 2011 9:34PM 窝里厢。
Dec 11 2011 11:12PM 桃浦十村。
Dec 13 2011 8:45AM 沪太新村第一小学。
Dec 13 2011 8:46AM 沪太新村第一小学。
Dec 17 2011 2:17PM 窝里厢。
Dec 17 2011 3:16PM 桃浦十村。
Dec 20 2011 11:41AM 沪太新村第一小学。
Dec 21 2011 9:07AM 沪太新村第一小学。
Dec 21 2011 11:26AM 沪太一小分部。
Dec 21 2011 3:24PM 宜川中学附属学校。
Dec 22 2011 7:32AM 沪太路灵石路。
Dec 22 2011 9:25AM 沪太新村第一小学。起司蛋糕，卖相伐灵，咪道老灵额。。。。。
Dec 23 2011 10:34AM 沪太新村第一小学。
Dec 23 2011 7:20PM 新天地时尚购物中心。
Dec 24 2011 9:33AM 新天地时尚购物中心。
Dec 24 2011 5:32PM 窝里厢。
Dec 25 2011 8:00PM 窝里厢。
Dec 28 2011 11:30AM 沪太一小分部。
Dec 29 2011 5:55PM [活动]。
Dec 30 2011 7:45PM 共富酒楼。
Dec 31 2011 8:01PM 窝里厢。
Jan 2 2012 10:20AM 窝里厢。
Jan 2 2012 12:16PM 新天地时尚购物中心。
Jan 2 2012 12:19PM 新天地广场。
Jan 4 2012 12:51PM 沪太新村第一小学。
Jan 5 2012 10:13AM 沪太新村第一小学。
Jan 6 2012 7:26PM 陆羽山庄。
Jan 8 2012 2:34PM 桃浦十村。
Jan 12 2012 11:48AM 窝里厢。
Jan 17 2012 11:40AM 长宁金廷88中心。
Jan 18 2012 6:00PM 窝里厢。
Jan 19 2012 6:18PM 桃浦十村。
Jan 20 2012 8:20PM 。梅龙镇商厦(南汇路)。
Jan 21 2012 7:35PM 。紫藤苑小区。饭后水果，发了太多了，来不及吃。
Jan 22 2012 2:14PM 巴黎春天(宝山店)。
Jan 23 2012 11:58PM 。诸暨市。火车开到这里，车厢里很安静，好像大家都睡着来。
Jan 24 2012 6:14PM 望峰花园。
Jan 25 2012 10:44AM 武夷山大红袍景区。
Jan 25 2012 11:11AM 。武夷山市。
Jan 25 2012 2:15PM 。武夷山市。
Jan 25 2012 2:27PM 武夷山九曲溪。与。
Jan 25 2012 4:49PM 钱柜音乐会所。与。
Jan 26 2012 1:17PM 武夷山风景名胜区。
Jan 26 2012 1:25PM 武夷山九曲溪。
Jan 26 2012 2:02PM 。武夷山市。
Jan 26 2012 7:57PM 南平武夷山机场。
Jan 27 2012 4:00PM 马可波罗花园酒店。
Jan 28 2012 1:03PM 龙井一号。与。
Feb 6 2012 5:40PM 一品全大酒店(兰溪店)。
Feb 7 2012 1:53PM 沪太新村第一小学。
Feb 8 2012 6:03PM 瓯豪大酒店。
Feb 9 2012 10:28AM 沪太新村第一小学。
Feb 11 2012 12:16AM 窝里厢。
Feb 11 2012 4:57PM 瓯豪大酒店。与。
Feb 12 2012 3:18PM 窝里厢。喝喝茶，看看电视，适宜。体验老年人的生活。
Feb 13 2012 12:09PM 沪太新村第一小学。
Feb 13 2012 12:10PM 沪太新村第一小学。
Feb 13 2012 5:29PM 江南春大酒店。
Feb 14 2012 5:34PM 巴黎春天(宝山店)。最爱的泡芙。
Feb 17 2012 8:05AM 沪太新村第一小学。
Feb 17 2012 8:06AM 沪太新村第一小学。
Feb 17 2012 3:37PM 沪太新村第一小学。
Feb 18 2012 3:02PM 窝里厢。
Feb 19 2012 4:57PM 沃尔玛。
Feb 20 2012 7:26AM S5沪嘉高速南翔收费站。
Feb 21 2012 3:13PM 不夜城手机市场。
Feb 22 2012 8:23AM 沪太新村第一小学。
Feb 23 2012 7:36AM 沪太新村第一小学。
Feb 23 2012 5:46PM 沪太新村第一小学。
Feb 23 2012 10:09PM 桃浦十村門口燒烤攤。夜饭没切，现在补切。
Feb 24 2012 1:50PM 沪太新村第一小学。
Feb 24 2012 1:49PM 沪太新村第一小学。
Feb 24 2012 3:27PM 沪太新村第一小学。与。
Feb 29 2012 9:17AM 沪太新村第一小学。
Mar 1 2012 5:18PM 小杨生煎(宝山巴春店)。
Mar 5 2012 11:37AM 沪太新村第一小学。
Mar 5 2012 12:49PM 观想堂。
Mar 5 2012 12:54PM 沪太一小分部。
Mar 6 2012 4:29PM 普陀区人民政府。
Mar 7 2012 9:06AM 沪太新村第一小学。与。
Mar 7 2012 2:55PM 万里城实验学校。
Mar 8 2012 3:18PM 万达电影城(五角场店)。
Mar 9 2012 11:03AM 沪太新村第一小学。
Mar 9 2012 2:12PM 普陀区少年儿童图书馆。
Mar 10 2012 1:11PM 味千拉面。
Mar 10 2012 1:39PM 家乐福(南翔店)。
Mar 12 2012 7:43AM 沪太路灵石路。
Mar 12 2012 10:10AM 沪太一小分部。
Mar 13 2012 12:46PM 桃浦新村地铁站。
Mar 13 2012 1:09PM 普陀区业余大学。
Mar 14 2012 2:15PM 沪太新村第一小学。
Mar 15 2012 7:07AM 桃浦健身中心。
Mar 15 2012 8:12AM 沪太一小分部。
Mar 15 2012 9:49AM 沪太新村第一小学。
Mar 16 2012 7:39AM 沪太路。
Mar 16 2012 9:46AM 沪太新村第一小学。
Mar 16 2012 4:49PM 避风塘(大华店)。
Mar 16 2012 10:33PM 桃浦十村門口燒烤攤。
Mar 17 2012 12:11AM UA花城汇影院。与。
Mar 17 2012 2:36PM 窝里厢。
Mar 18 2012 3:01PM 窝里厢。
Mar 18 2012 3:37PM 桃浦十村。
Mar 19 2012 7:49AM 沪太路。
Mar 19 2012 12:37PM 沪太新村第一小学。
Mar 21 2012 5:22PM 。新武宁小学。
Mar 22 2012 7:21AM 沪太路灵石路。
Mar 23 2012 7:47AM 沪太路灵石路。
Mar 23 2012 8:20AM 沪太新村第一小学。
Mar 23 2012 8:20AM 沪太新村第一小学。
Mar 23 2012 12:06PM 老郎特色牛肉面馆。与。
Mar 23 2012 3:39PM 沪太新村第一小学。与。
Mar 25 2012 3:25PM 悦达889广场。
Mar 25 2012 8:07PM 隆德路地铁站。
Mar 26 2012 7:22AM 桃浦十村。
Mar 27 2012 6:52PM 窝里厢。
Mar 28 2012 8:32AM 沪太新村第一小学。
Mar 28 2012 5:30PM 小杨生煎(宝山巴春店)。
Mar 29 2012 12:02PM 沪太新村第一小学。
Mar 30 2012 7:53AM 沪太路灵石路。
Mar 30 2012 4:58PM 真如寺。
Mar 30 2012 5:20PM 。真如寺。
Mar 31 2012 8:37AM 沪太一小分部。
Mar 31 2012 8:35AM 沪太新村第一小学。
Mar 31 2012 8:36AM 沪太新村第一小学。
Mar 31 2012 2:10PM 普陀区教育学院。
Apr 1 2012 6:39PM 人民公社。与。
Apr 1 2012 10:06PM 桃浦十村門口燒烤攤。与。
Apr 2 2012 6:18AM 外环线。
Apr 2 2012 9:02AM 南翔白鹤憩园。
Apr 2 2012 12:39PM 老盛昌苏州汤包馆(桃浦店)。
Apr 2 2012 5:53PM 谷丰日(德华路店)。
Apr 3 2012 12:55PM 窝里厢。
Apr 4 2012 7:47AM 南翔白鹤憩园。
Apr 5 2012 7:08AM 桃浦十村。
Apr 5 2012 12:17PM 沪太新村第一小学。
Apr 5 2012 12:18PM 沪太新村第一小学。
Apr 6 2012 7:27AM 桃浦十村。
Apr 6 2012 2:02PM 沪太新村第一小学。
Apr 7 2012 4:52PM 桃浦十村。
Apr 8 2012 12:49PM 桃浦健身中心。
Apr 8 2012 5:16PM 百联中环购物广场。
Apr 8 2012 5:23PM 望湘园(百联中环店)。
Apr 9 2012 7:44AM 沪太路灵石路。
Apr 9 2012 12:08PM 沪太新村第一小学。
Apr 9 2012 12:07PM 沪太新村第一小学。
